frequencyData_00,frequencyData_01,frequencyData_02,frequencyData_03,frequencyData_04,frequencyData_05,frequencyData_06,frequencyData_07,frequencyData_08,frequencyData_09,frequencyData_10,frequencyData_11,frequencyData_12,frequencyData_13,frequencyData_14,frequencyData_15,frequencyData_16,frequencyData_17,frequencyData_18,frequencyData_19,frequencyData_20,frequencyData_21,frequencyData_22,frequencyData_23,frequencyData_24,frequencyData_25,frequencyData_26,frequencyData_27,frequencyData_28,frequencyData_29,frequencyData_30,frequencyData_31,energyAverage,dbgLowRaw,dbgBodyRaw,dbgHighRaw,dbgLowNorm,dbgBodyNorm,dbgHighNorm,dbgLowRise,dbgRatio,dbgRawRatio,dbgSignalActive,dbgHighDominant,dbgLowQualified,dbgRawBassSupport,dbgCandidate,dbgAccepted,dbgPendingScore,dbgFlashStrength,ts_epoch,ts_rel
0.015778,0.00708,0.128845,0.035873,0.045029,0.42836,0.238281,0.173767,0.043808,0.026489,0.014908,0.015976,0.008453,0.008301,0.00415,0.01001,0.004486,0.003387,0.004684,0.00148,0.001968,0.001541,0.001419,0.005905,0.001007,0.000534,0.000732,0.000687,0.000488,0.000534,0.000534,0.000534,0.141724,0.046509,0.182129,0.003891,1,1,0.743439,0,2.689987,57.43294,1,0,1,1,0,0,0.170898,0.956543,1774288110.39675,2.968855857849121
0.012878,0.014893,0.147827,0.060486,0.060532,0.37027,0.211365,0.25621,0.068985,0.046661,0.014496,0.026306,0.01297,0.010056,0.005951,0.010239,0.002777,0.002396,0.012985,0.001221,0.001022,0.00087,0.00087,0.00386,0.00087,0.000336,0.003113,0.000763,0.000763,0.000534,0.000488,0.000534,0.122223,0.059311,0.190689,0.004211,1,0.973511,0.851837,0,2.31662,58.12056,1,0,1,1,0,0,0.170898,0.956543,1774288110.4677203,3.0398261547088623
0.01593,0.008835,0.156036,0.053665,0.038666,0.236343,0.128693,0.097931,0.151611,0.028366,0.021545,0.015671,0.005402,0.004684,0.005371,0.007507,0.005264,0.000732,0.00737,0.000732,0.001007,0.000244,0.000687,0.007614,0.00087,0.000336,0.003418,0.002411,0.000336,0.000244,0.000534,0.000534,0.091675,0.054626,0.128586,0.003647,0.903809,0.689484,0.778488,0.002502,2.046524,49.03264,1,0,1,1,0,0,0.170898,0.956543,1774288110.539413,3.1115188598632812
0.007782,0.015457,0.19577,0.067917,0.034698,0.182053,0.086029,0.042999,0.092026,0.027939,0.020065,0.005753,0.004684,0.004807,0.003006,0.008148,0.002548,0.001007,0.004623,0.001022,0.000687,0.000336,0.000534,0.001892,0.000763,0.000488,0.001999,0.001953,0.000534,0.000488,0.000534,0.000534,0.076233,0.064316,0.086197,0.00238,1,0.481216,0.53241,0,2.781784,60.92592,1,0,1,1,0,0,0,0.982681,1774288110.624092,3.196197986602783
0.00589,0.012543,0.194336,0.067917,0.049561,0.180359,0.037491,0.081787,0.10701,0.016922,0.033752,0.004807,0.004135,0.002197,0.001541,0.007507,0.007874,0.001953,0.002075,0.001724,0.001419,0.000534,0.000534,0.004807,0.000763,0.000687,0.001968,0.001556,0.000336,0.000687,0.000534,0.000534,0.080521,0.06604,0.084702,0.002991,1,0.496719,0.710144,0,2.107483,48.93564,1,0,1,1,0,0,0,0.982681,1774288110.6934645,3.2655704021453857
0.007446,0.014557,0.181351,0.06131,0.037354,0.204575,0.095398,0.063721,0.067261,0.055267,0.030075,0.004929,0.004333,0.004547,0.002777,0.008652,0.003784,0.001541,0.01004,0.001312,0.000687,0.000336,0.00087,0.004532,0.000732,0.000534,0.001724,0.003281,0.000534,0.000488,0.000488,0.000687,0.078934,0.060394,0.097244,0.003448,0.948242,0.593994,0.862595,0,1.787811,44.55603,1,0,1,1,0,0,0,0.982681,1774288110.7697582,3.3418641090393066
0.00943,0.017319,0.246414,0.075943,0.038254,0.200897,0.081665,0.075867,0.04274,0.043076,0.015778,0.005707,0.00502,0.001236,0.000763,0.016724,0.005569,0.001236,0.005371,0.002075,0.001373,0.000534,0.001419,0.003311,0.000534,0.000336,0.002441,0.001312,0.000488,0.000534,0.000534,0.000534,0.098221,0.077469,0.088837,0.00383,1,0.569885,0.916046,0,1.713684,42.4319,1,0,1,1,0,0,0,0.982681,1774288110.8329334,3.4050393104553223
0.009293,0.020187,0.294373,0.078552,0.089264,0.199265,0.088806,0.104065,0.064041,0.018539,0.014328,0.013428,0.004807,0.001633,0.002441,0.00502,0.004059,0.001419,0.008408,0.001007,0.000732,0.000687,0.00087,0.002441,0.000763,0.000336,0.001221,0.001724,0.000534,0.000488,0.000534,0.000534,0.118393,0.098328,0.09494,0.002701,1,0.637878,0.686035,0,2.387268,69.2459,1,0,1,1,0,0,0,0.982681,1774288110.9131286,3.485234498977661
0.029587,0.020645,0.353851,0.0793,0.128555,0.213425,0.156174,0.120056,0.065048,0.022461,0.052841,0.02124,0.010895,0.005814,0.005997,0.008347,0.005478,0.00206,0.003311,0.001221,0.00177,0.000732,0.000763,0.00293,0.001083,0.000488,0.001312,0.001236,0.000534,0.000534,0.000534,0.000687,0.129761,0.122375,0.115433,0.00325,1,0.812378,0.880158,0,2.059036,71.19177,1,0,1,1,0,0,0,0.982681,1774288110.994184,3.5662899017333984
0.041046,0.015656,0.344391,0.063278,0.114212,0.229172,0.148483,0.069534,0.066864,0.018494,0.041916,0.010895,0.010651,0.006775,0.002548,0.014282,0.005905,0.003265,0.003601,0.002441,0.001709,0.001236,0.001007,0.001236,0.00087,0.000534,0.001221,0.001083,0.000534,0.000534,0.000534,0.000534,0.124741,0.115707,0.106506,0.003723,0.947983,0.782944,1,0.002716,1.73085,58.27599,1,0,1,1,0,0,0,0.982681,1774288111.0677803,3.6398861408233643
